import time: self [us] | cumulative | imported package
import time:       192 |        192 |                     streamlit.proto.Button_pb2
import time:       119 |        119 |                     streamlit.proto.ButtonGroup_pb2
import time:        94 |         94 |                     streamlit.proto.DownloadButton_pb2
import time:       198 |        198 |                     streamlit.proto.CameraInput_pb2
import time:       196 |        196 |                     streamlit.proto.ChatInput_pb2
import time:       102 |        102 |                     streamlit.proto.Checkbox_pb2
import time:        92 |         92 |                     streamlit.proto.Code_pb2
import time:       101 |        101 |                     streamlit.proto.ColorPicker_pb2
import time:       315 |        315 |                     streamlit.proto.DataFrame_pb2
import time:        95 |         95 |                     streamlit.proto.DateInput_pb2
import time:        95 |         95 |                     streamlit.proto.DeckGlJsonChart_pb2
import time:        99 |         99 |                     streamlit.proto.DocString_pb2
import time:        88 |         88 |                     streamlit.proto.Empty_pb2
import time:        90 |         90 |                     streamlit.proto.Exception_pb2
import time:        87 |         87 |                     streamlit.proto.Favicon_pb2
import time:        90 |         90 |                     streamlit.proto.FileUploader_pb2
import time:       190 |        190 |                     streamlit.proto.GraphVizChart_pb2
import time:        86 |         86 |                     streamlit.proto.Html_pb2
import time:        94 |         94 |                     streamlit.proto.IFrame_pb2
import time:       229 |        229 |                     streamlit.proto.Image_pb2
import time:        97 |         97 |                     streamlit.proto.Json_pb2
import time:       577 |        577 |                     streamlit.proto.LinkButton_pb2
import time:       281 |        281 |                     streamlit.proto.NumberInput_pb2
import time:       310 |        310 |                     streamlit.proto.Markdown_pb2
import time:       109 |        109 |                     streamlit.proto.Metric_pb2
import time:       100 |        100 |                     streamlit.proto.MultiSelect_pb2
import time:       219 |        219 |                     streamlit.proto.PageLink_pb2
import time:       119 |        119 |                     streamlit.proto.PlotlyChart_pb2
import time:       144 |        144 |                     streamlit.proto.Components_pb2
import time:        94 |         94 |                     streamlit.proto.Progress_pb2
import time:       213 |        213 |                     streamlit.proto.Snow_pb2
import time:        94 |         94 |                     streamlit.proto.Spinner_pb2
import time:        96 |         96 |                     streamlit.proto.Radio_pb2
import time:       102 |        102 |                     streamlit.proto.Selectbox_pb2
import time:       331 |        331 |                     streamlit.proto.Skeleton_pb2
import time:        97 |         97 |                     streamlit.proto.Slider_pb2
import time:        86 |         86 |                     streamlit.proto.Space_pb2
import time:       192 |        192 |                     streamlit.proto.Text_pb2
import time:       217 |        217 |                     streamlit.proto.TextArea_pb2
import time:       100 |        100 |                     streamlit.proto.TextInput_pb2
import time:        99 |         99 |                     streamlit.proto.TimeInput_pb2
import time:        98 |         98 |                     streamlit.proto.Toast_pb2
import time:        90 |         90 |                       streamlit.proto.NamedDataSet_pb2
import time:       103 |        192 |                     streamlit.proto.VegaLiteChart_pb2
import time:       109 |        109 |                     streamlit.proto.Video_pb2
import time:        89 |         89 |                     streamlit.proto.Heading_pb2
import time:        89 |         89 |                       streamlit.proto.ArrowData_pb2
import time:       132 |        221 |                     streamlit.proto.BidiComponent_pb2
import time:      1008 |       9208 |                   streamlit.proto.Element_pb2
import time:       321 |      10712 |                 streamlit.proto.Delta_pb2
import time:        97 |         97 |                 streamlit.proto.GitInfo_pb2
import time:       205 |        205 |                 streamlit.proto.Logo_pb2
import time:        93 |         93 |                   streamlit.proto.AppPage_pb2
import time:       105 |        198 |                 streamlit.proto.Navigation_pb2
import time:       196 |        196 |                   streamlit.proto.SessionStatus_pb2
import time:       351 |        547 |                 streamlit.proto.NewSession_pb2
import time:       108 |        108 |                 streamlit.proto.PageConfig_pb2
import time:       142 |        142 |                 streamlit.proto.PageInfo_pb2
import time:       116 |        116 |                 streamlit.proto.PageProfile_pb2
import time:        89 |         89 |                 streamlit.proto.PageNotFound_pb2
import time:       555 |        555 |                 streamlit.proto.PagesChanged_pb2
import time:       105 |        105 |                 streamlit.proto.ParentMessage_pb2
import time:       101 |        101 |                 streamlit.proto.SessionEvent_pb2
import time:        93 |         93 |                 streamlit.proto.AuthRedirect_pb2
import time:       487 |      14291 |               streamlit.proto.ForwardMsg_pb2
import time:       893 |        893 |                   _uuid
import time:       541 |       1434 |                 uuid
import time:       676 |        676 |                 google.protobuf.json_format
import time:       596 |        596 |                   streamlit.elements.lib.layout_utils
import time:       308 |        308 |                       streamlit.runtime.scriptrunner_utils
import time:       136 |        136 |                         streamlit.proto.WidgetStates_pb2
import time:      1222 |       1357 |                       streamlit.runtime.scriptrunner_utils.script_requests
import time:       173 |       1837 |                     streamlit.runtime.scriptrunner_utils.exceptions
import time:       120 |        120 |                       streamlit.runtime.forward_msg_cache
import time:      1094 |       1214 |                     streamlit.runtime.scriptrunner_utils.script_run_context
import time:       359 |       3409 |                   streamlit.runtime.metrics_util
import time:       682 |       4686 |                 streamlit.elements.exception
import time:       144 |        144 |                 streamlit.proto.ClientState_pb2
import time:      1378 |       1378 |                     typing_extensions
import time:       460 |        460 |                       streamlit.type_util
import time:       146 |        146 |                       streamlit.runtime.caching.cache_type
import time:       507 |       1112 |                     streamlit.runtime.caching.cache_errors
import time:       922 |        922 |                       streamlit.dataframe_util
import time:        28 |         28 |                             gc
import time:       275 |        275 |                             timeit
import time:       160 |        160 |                             streamlit.runtime.pages_manager
import time:       125 |        125 |                               streamlit.error_util
import time:       235 |        359 |                             streamlit.runtime.scriptrunner.exec_code
import time:       314 |        314 |                               streamlit.runtime.scriptrunner.magic
import time:       262 |        262 |                               streamlit.source_util
import time:       111 |        687 |                             streamlit.runtime.scriptrunner.script_cache
import time:      1069 |       1069 |                               streamlit.runtime.state.common
import time:       237 |        237 |                                     streamlit.elements.lib.form_utils
import time:       433 |        669 |                                   streamlit.elements.lib.utils
import time:       296 |        296 |                                   streamlit.runtime.state.safe_session_state
import time:       121 |        121 |                                     streamlit.runtime.state.presentation
import time:       406 |        406 |                                     streamlit.runtime.state.query_params
import time:       406 |        406 |                                     streamlit.runtime.stats
import time:      1946 |       2877 |                                   streamlit.runtime.state.session_state
import time:       225 |       4065 |                                 streamlit.runtime.state.session_state_proxy
import time:       480 |       4544 |                               streamlit.runtime.state.query_params_proxy
import time:       127 |        127 |                               streamlit.runtime.state.widgets
import time:       201 |       5941 |                             streamlit.runtime.state
import time:       499 |       7946 |                           streamlit.runtime.scriptrunner.script_runner
import time:       106 |       8052 |                         streamlit.runtime.scriptrunner
import time:       287 |       8338 |                       streamlit.elements.spinner
import time:      1412 |       1412 |                       streamlit.runtime.caching.cached_message_replay
import time:       510 |        510 |                         streamlit.runtime.uploaded_file_manager
import time:       463 |        973 |                       streamlit.runtime.caching.hashing
import time:       492 |      12135 |                     streamlit.runtime.caching.cache_utils
import time:       629 |        629 |                       streamlit.runtime.caching.storage.cache_storage_protocol
import time:       248 |        876 |                     streamlit.runtime.caching.storage
import time:       283 |        283 |                           cachetools.keys
import time:       766 |       1048 |                         cachetools
import time:       167 |       1215 |                       streamlit.runtime.caching.storage.in_memory_cache_storage_wrapper
import time:       133 |       1348 |                     streamlit.runtime.caching.storage.dummy_cache_storage
import time:       106 |        106 |                     streamlit.time_util
import time:       618 |      17571 |                   streamlit.runtime.caching.cache_data_api
import time:       383 |        383 |                   streamlit.runtime.caching.cache_resource_api
import time:       299 |        299 |                   streamlit.runtime.caching.legacy_cache_api
import time:       290 |      18541 |                 streamlit.runtime.caching
import time:       231 |        231 |                 streamlit.runtime.forward_msg_queue
import time:       410 |        410 |                 streamlit.runtime.fragment
import time:        97 |         97 |                         streamlit.watcher.folder_black_list
import time:       744 |        744 |                                 _queue
import time:       747 |       1491 |                               queue
import time:       336 |       1827 |                             concurrent.futures.thread
import time:       124 |        124 |                             streamlit.watcher.util
import time:       153 |       2102 |                           streamlit.watcher.polling_path_watcher
import time:       117 |       2218 |                         streamlit.watcher.path_watcher
import time:       533 |       2848 |                       streamlit.watcher.local_sources_watcher
import time:       203 |       3050 |                     streamlit.watcher
import time:        13 |       3063 |                   streamlit.watcher.path_watcher
import time:       395 |       3457 |                 streamlit.runtime.secrets
import time:       113 |        113 |                 streamlit.runtime.theme_util
import time:       541 |      30228 |               streamlit.runtime.app_session
import time:       204 |        204 |               streamlit.runtime.caching.storage.local_disk_cache_storage
import time:       168 |        168 |                 streamlit.runtime.media_file_storage
import time:       273 |        440 |               streamlit.runtime.media_file_manager
import time:       755 |        755 |                 streamlit.runtime.session_manager
import time:       214 |        968 |               streamlit.runtime.memory_session_storage
import time:       475 |        475 |               streamlit.runtime.script_data
import time:       181 |        181 |               streamlit.runtime.websocket_session_manager
import time:      1091 |      66740 |             streamlit.runtime.runtime
import time:       392 |      67131 |           streamlit.runtime
import time:        13 |      67143 |         streamlit.runtime.scriptrunner_utils
import time:        12 |      67154 |       streamlit.runtime.scriptrunner_utils.script_run_context
import time:       262 |      67416 |     streamlit.cursor
import time:       205 |        205 |         streamlit.components.v2.bidi_component.constants
import time:       279 |        279 |         streamlit.components.v2.bidi_component.serialization
import time:       217 |        217 |         streamlit.components.v2.bidi_component.state
import time:       220 |        220 |         streamlit.components.v2.presentation
import time:       337 |        337 |         streamlit.elements.lib.policies
import time:       386 |       1642 |       streamlit.components.v2.bidi_component.main
import time:       138 |       1779 |     streamlit.components.v2.bidi_component
import time:       167 |        167 |     streamlit.elements.alert
import time:      1463 |       1463 |         streamlit.elements.lib.column_types
import time:       127 |        127 |         streamlit.elements.lib.dicttools
import time:       484 |       2073 |       streamlit.elements.lib.column_config_utils
import time:       140 |        140 |       streamlit.elements.lib.pandas_styler_utils
import time:       632 |       2843 |     streamlit.elements.arrow
import time:       138 |        138 |     streamlit.elements.balloons
import time:       119 |        119 |     streamlit.elements.bokeh_chart
import time:       236 |        236 |     streamlit.elements.code
import time:       478 |        478 |     streamlit.elements.deck_gl_json_chart
import time:       240 |        240 |     streamlit.elements.doc_string
import time:       122 |        122 |     streamlit.elements.empty
import time:       242 |        242 |     streamlit.elements.form
import time:       324 |        324 |     streamlit.elements.graphviz_chart
import time:       410 |        410 |     streamlit.elements.heading
import time:       131 |        131 |     streamlit.elements.html
import time:       131 |        131 |     streamlit.elements.iframe
import time:       455 |        455 |       streamlit.elements.lib.image_utils
import time:       288 |        743 |     streamlit.elements.image
import time:       151 |        151 |     streamlit.elements.json
import time:       387 |        387 |     streamlit.elements.layouts
import time:       426 |        426 |     streamlit.elements.map
import time:       288 |        288 |     streamlit.elements.markdown
import time:       204 |        204 |       streamlit.elements.lib.subtitle_utils
import time:       241 |        445 |     streamlit.elements.media
import time:       670 |        670 |     streamlit.elements.metric
import time:       275 |        275 |     streamlit.elements.pdf
import time:       116 |        116 |       streamlit.elements.lib.streamlit_plotly_theme
import time:       116 |        116 |             _plotly_utils
import time:       346 |        461 |           _plotly_utils.importers
import time:      1125 |       1586 |         plotly
import time:       632 |       2217 |       plotly.graph_objects
import time:       450 |        450 |         pkgutil
import time:      1006 |       1455 |       plotly.io
import time:       253 |        253 |           _plotly_utils.optional_imports
import time:       207 |        207 |                     narwhals._exceptions
import time:       678 |        885 |                   narwhals.dependencies
import time:       168 |        168 |                       narwhals._enum
import time:       113 |        113 |                       narwhals._typing_compat
import time:       354 |        354 |                       narwhals.exceptions
import time:      1276 |       1909 |                     narwhals._utils
import time:       611 |       2519 |                   narwhals.dtypes
import time:       591 |        591 |                     narwhals._expression_parsing
import time:       210 |        210 |                       narwhals.expr_cat
import time:       325 |        325 |                       narwhals.expr_dt
import time:       359 |        359 |                       narwhals.expr_list
import time:       226 |        226 |                       narwhals.expr_name
import time:       703 |        703 |                       narwhals.expr_str
import time:       149 |        149 |                       narwhals.expr_struct
import time:       606 |        606 |                               narwhals._compliant.typing
import time:       906 |        906 |                               narwhals._translate
import time:      1049 |       2560 |                             narwhals._compliant.dataframe
import time:       674 |        674 |                               narwhals._compliant.any_namespace
import time:       394 |        394 |                               narwhals._compliant.column
import time:       546 |        546 |                               narwhals._compliant.namespace
import time:      1427 |       3039 |                             narwhals._compliant.expr
import time:       408 |        408 |                             narwhals._compliant.group_by
import time:       703 |        703 |                             narwhals._compliant.selectors
import time:      1032 |       1032 |                             narwhals._compliant.series
import time:       378 |        378 |                             narwhals._compliant.window
import time:       338 |       8454 |                           narwhals._compliant
import time:       214 |       8668 |                         narwhals.plugins
import time:       179 |        179 |                         narwhals._constants
import time:       720 |        720 |                         narwhals._native
import time:       445 |      10010 |                       narwhals.translate
import time:      1283 |      13261 |                     narwhals.expr
import time:       330 |      14181 |                   narwhals.selectors
import time:       697 |        697 |                     narwhals._typing
import time:       428 |        428 |                     narwhals.functions
import time:       285 |        285 |                     narwhals.schema
import time:       339 |        339 |                         narwhals.typing
import time:       123 |        462 |                       narwhals.series_cat
import time:       143 |        143 |                       narwhals.series_dt
import time:       112 |        112 |                       narwhals.series_list
import time:       134 |        134 |                       narwhals.series_str
